post	target	implied_statement
from wide-eyed liberal to race realist - american renaissance via thanks	Minorities	Minorities are genetically deficient
you mean illegal immigrants? stop mixing legal immigrants who have nothing to fear with illegal immigrants on food stamps!	Immigrants	Immigrants have to be deported
rachel . i love your sweetness . white women are the angels of the . w	White people	White people are superior
bs!! illegal=deport now!!	Illegal immigrants	Illegal immigrants should get deported
: black slavery only matters when it can be blamed on white southerners . or when it can make white sj	Black people	Black people are whiners
if you don't like what we tell you to believe in, we'll kill ya.	Muslims	Muslims are violent and kill people who do not agree with them
#charlotteriots join to put a stop to this anti-white hate .	Progressives	Progressives abhor whites
shoot to kill . these are not refugees . these are invaders .	Immigrants	Immigrants are subhuman
yes, and america was constructed entirely of cotton products.	Black people	Black people exist to serve white people
3 . during the obama admin if they were relevant at all ! two  if trump was really a racist or white supremacist  this group would now be	White people	White people are racists.
white ( guilt ) knight	whites	whites feel racism guilt
religion of peace wants to kill all the jews  now indian-muslims want to kill 1 b hindus in 15 mins . via	Indian-muslims	Indian muslims are violent killers
if you have a strong stomach  go have a look at identity evropa . industrial strength racist toxicity  even some whining about white women being excluded from the women's march in january . mind-boggling .	feminists	Feminists don't care about white people.
the last bastion of the white race : 90 % of young finnish people oppose more non-white immigration via	White people	White people don't like immigrants.
84 % of all wanted criminals in copenhagen are non-white | more : via	Non-white people	Non-white people are criminals.
show me in the constitution where it ever addresses sodomites and lesbians getting married	Gay folks	Gay people should not be allowed to marry.
lmao fat feminists ghost tweet anti-white vitriol from beyond the grave	Feminists	Feminists hate whites.
gather them up, send them to their home country, that should quiet them up	Immigrants	Immigrants should be expelled from U.S
white people are going to fight back . we have every right to resist our own genocide .	Minorities	Minorities have been trying to destroy whites.
: in memoriam panzerdivision totenkopf t-shirt from the white resister	Minorities	Minorities are subhuman
horror night in swedish muslim ghetto : gang raped  raped until bleeding with a gun via	Muslims	Muslims are rapists.
they won't be happy until another white man ( ) falls to his knees and cucks out . #maga	whites	anti-white
"take a chapter out of merkel's book and make all white women wear a bracelet saying """"please don't sho"	White women	White women are not able to have opinion
odd for you to say this since you're a white supremacist .	white people	White people are racist.
. jews founded the frankfurt school . which created cultural marxism  the anti-white ideology	Jews	Jews don't like white people.
wow. what a racist. you should call yourself the pink panthers. a bunch of race hustlers. what good is coming from this ?	Black folks	Black people are racists
" good question ! once again -  "" small number of individuals "" "" phoenix  antifa used tear gas - boston  bottles """	Leftists	Leftists are violent
good job guys we need more white brothers and sisters to stand up for what is right for white america	White people	White people must be groped together to do what is right for America.
"  "" the black / white experiment has failed "" "" #race #politics """	black folks	failed experiment
you can't hide your lying eyes : conservatism inc's refusal to admit detroit is 92 percent black : its ... #tcot #p2	Blacks	Blacks are inferior
